"","sample","read_id","isize"
"473","CMV","NB502000:222:HTNM7BGX9:1:13112:15884:13796 .1",197
"475","CMV","NB502000:222:HTNM7BGX9:1:13112:3988:14340 .1",138
"477","CMV","NB502000:222:HTNM7BGX9:1:13112:5217:15184 .1",166
"479","CMV","NB502000:222:HTNM7BGX9:1:13201:10110:8700 .1",186
"481","CMV","NB502000:222:HTNM7BGX9:1:13201:1735:9897 .1",73
"483","CMV","NB502000:222:HTNM7BGX9:1:13201:17027:17763 .1",171
"485","CMV","NB502000:222:HTNM7BGX9:1:13202:15482:7074 .1",103
"487","CMV","NB502000:222:HTNM7BGX9:1:13203:15656:2958 .1",57
"489","CMV","NB502000:222:HTNM7BGX9:1:13203:21710:16079 .1",59
"491","CMV","NB502000:222:HTNM7BGX9:1:13203:13065:20325 .1",153
"493","CMV","NB502000:222:HTNM7BGX9:1:13204:19977:3149 .1",157
"495","CMV","NB502000:222:HTNM7BGX9:1:13204:25450:3823 .1",146
"497","CMV","NB502000:222:HTNM7BGX9:1:13204:22292:11473 .1",50
"499","CMV","NB502000:222:HTNM7BGX9:1:13205:15646:8087 .1",65
"501","CMV","NB502000:222:HTNM7BGX9:1:13205:6591:15260 .1",65
"503","CMV","NB502000:222:HTNM7BGX9:1:13205:23660:17095 .1",110
"505","CMV","NB502000:222:HTNM7BGX9:1:13205:4651:17533 .1",79
"507","CMV","NB502000:222:HTNM7BGX9:1:13206:7621:18490 .1",192
"509","CMV","NB502000:222:HTNM7BGX9:1:13207:3790:9536 .1",167
"511","CMV","NB502000:222:HTNM7BGX9:1:13207:2041:10366 .1",164
"513","CMV","NB502000:222:HTNM7BGX9:1:13207:20676:13465 .1",63
"515","CMV","NB502000:222:HTNM7BGX9:1:13207:25897:13573 .1",75
"517","CMV","NB502000:222:HTNM7BGX9:1:13207:10545:13654 .1",389
"519","CMV","NB502000:222:HTNM7BGX9:1:13207:11316:17502 .1",100
"521","CMV","NB502000:222:HTNM7BGX9:1:13207:1547:19195 .1",177
"523","CMV","NB502000:222:HTNM7BGX9:1:13208:6977:3306 .1",55
"525","CMV","NB502000:222:HTNM7BGX9:1:13208:11872:10700 .1",74
"527","CMV","NB502000:222:HTNM7BGX9:1:13208:4927:14767 .1",80
"529","CMV","NB502000:222:HTNM7BGX9:1:13208:19943:14904 .1",76
"531","CMV","NB502000:222:HTNM7BGX9:1:13209:5333:4160 .1",60
"533","CMV","NB502000:222:HTNM7BGX9:1:13209:12025:18907 .1",237
"535","CMV","NB502000:222:HTNM7BGX9:1:13210:7911:3839 .1",167
"537","CMV","NB502000:222:HTNM7BGX9:1:13210:18764:4986 .1",386
"539","CMV","NB502000:222:HTNM7BGX9:1:13210:6816:5425 .1",82
"541","CMV","NB502000:222:HTNM7BGX9:1:13210:22203:7236 .1",130
"543","CMV","NB502000:222:HTNM7BGX9:1:13211:13380:3643 .1",166
"545","CMV","NB502000:222:HTNM7BGX9:1:13211:8983:6355 .1",113
"548","CMV","NB502000:222:HTNM7BGX9:1:13211:17740:9523 .1",58
"551","CMV","NB502000:222:HTNM7BGX9:1:13211:2273:17696 .1",93
"553","CMV","NB502000:222:HTNM7BGX9:1:13211:8178:18498 .1",283
"555","CMV","NB502000:222:HTNM7BGX9:1:13212:15091:6894 .1",356
"557","CMV","NB502000:222:HTNM7BGX9:1:13212:15926:7081 .1",121
"559","CMV","NB502000:222:HTNM7BGX9:1:13212:3878:9654 .1",306
"561","CMV","NB502000:222:HTNM7BGX9:1:13212:16034:12666 .1",129
"563","CMV","NB502000:222:HTNM7BGX9:1:13212:3156:18454 .1",168
"565","CMV","NB502000:222:HTNM7BGX9:1:13301:16884:3253 .1",55
"567","CMV","NB502000:222:HTNM7BGX9:1:13301:18885:6800 .1",97
"569","CMV","NB502000:222:HTNM7BGX9:1:13301:13385:10623 .1",49
"571","CMV","NB502000:222:HTNM7BGX9:1:13301:16835:15097 .1",133
"574","CMV","NB502000:222:HTNM7BGX9:1:13302:16803:13909 .1",119
"576","CMV","NB502000:222:HTNM7BGX9:1:13302:13690:15274 .1",86
"578","CMV","NB502000:222:HTNM7BGX9:1:13302:7432:19329 .1",152
"580","CMV","NB502000:222:HTNM7BGX9:1:13303:3425:5789 .1",196
"582","CMV","NB502000:222:HTNM7BGX9:1:13303:5076:9807 .1",96
"584","CMV","NB502000:222:HTNM7BGX9:1:13304:20650:12657 .1",46
"586","CMV","NB502000:222:HTNM7BGX9:1:13304:22939:16827 .1",105
"588","CMV","NB502000:222:HTNM7BGX9:1:13306:7388:2030 .1",39
"590","CMV","NB502000:222:HTNM7BGX9:1:13306:16747:3211 .1",50
"592","CMV","NB502000:222:HTNM7BGX9:1:13306:5019:14183 .1",59
"594","CMV","NB502000:222:HTNM7BGX9:1:13306:26063:16140 .1",52
"596","CMV","NB502000:222:HTNM7BGX9:1:13307:14730:4495 .1",327
"598","CMV","NB502000:222:HTNM7BGX9:1:13307:12308:7383 .1",43
